,month,day,hour,value,timestamp,timestamps
0,11,14,10,25,2018-11-14 10:00:00,1542207600.0
1,11,14,11,57,2018-11-14 11:00:00,1542211200.0
2,11,14,12,38,2018-11-14 12:00:00,1542214800.0
3,11,14,13,48,2018-11-14 13:00:00,1542218400.0
4,11,14,14,36,2018-11-14 14:00:00,1542222000.0
5,11,14,15,62,2018-11-14 15:00:00,1542225600.0
6,11,14,16,34,2018-11-14 16:00:00,1542229200.0
7,11,14,17,65,2018-11-14 17:00:00,1542232800.0
8,11,14,18,36,2018-11-14 18:00:00,1542236400.0
9,11,14,19,35,2018-11-14 19:00:00,1542240000.0
10,11,14,20,45,2018-11-14 20:00:00,1542243600.0
11,11,14,21,45,2018-11-14 21:00:00,1542247200.0
12,11,14,22,44,2018-11-14 22:00:00,1542250800.0
13,11,14,23,34,2018-11-14 23:00:00,1542254400.0
14,11,14,7,3,2018-11-14 07:00:00,1542196800.0
15,11,14,8,38,2018-11-14 08:00:00,1542200400.0
16,11,14,9,36,2018-11-14 09:00:00,1542204000.0
17,11,15,0,28,2018-11-15 00:00:00,1542258000.0
18,11,15,1,42,2018-11-15 01:00:00,1542261600.0
19,11,15,10,14,2018-11-15 10:00:00,1542294000.0
20,11,15,11,28,2018-11-15 11:00:00,1542297600.0
21,11,15,12,38,2018-11-15 12:00:00,1542301200.0
22,11,15,13,26,2018-11-15 13:00:00,1542304800.0
23,11,15,14,28,2018-11-15 14:00:00,1542308400.0
24,11,15,15,62,2018-11-15 15:00:00,1542312000.0
25,11,15,16,40,2018-11-15 16:00:00,1542315600.0
26,11,15,17,43,2018-11-15 17:00:00,1542319200.0
27,11,15,18,44,2018-11-15 18:00:00,1542322800.0
28,11,15,19,40,2018-11-15 19:00:00,1542326400.0
29,11,15,2,27,2018-11-15 02:00:00,1542265200.0
30,11,15,20,39,2018-11-15 20:00:00,1542330000.0
31,11,15,21,32,2018-11-15 21:00:00,1542333600.0
32,11,15,22,44,2018-11-15 22:00:00,1542337200.0
33,11,15,23,34,2018-11-15 23:00:00,1542340800.0
34,11,15,3,26,2018-11-15 03:00:00,1542268800.0
35,11,15,4,28,2018-11-15 04:00:00,1542272400.0
36,11,15,5,15,2018-11-15 05:00:00,1542276000.0
37,11,15,6,25,2018-11-15 06:00:00,1542279600.0
38,11,15,7,20,2018-11-15 07:00:00,1542283200.0
39,11,15,8,24,2018-11-15 08:00:00,1542286800.0
40,11,15,9,12,2018-11-15 09:00:00,1542290400.0
41,11,16,0,103,2018-11-16 00:00:00,1542344400.0
42,11,16,1,67,2018-11-16 01:00:00,1542348000.0
43,11,16,10,42,2018-11-16 10:00:00,1542380400.0
44,11,16,11,30,2018-11-16 11:00:00,1542384000.0
45,11,16,12,80,2018-11-16 12:00:00,1542387600.0
46,11,16,13,51,2018-11-16 13:00:00,1542391200.0
47,11,16,14,71,2018-11-16 14:00:00,1542394800.0
48,11,16,15,84,2018-11-16 15:00:00,1542398400.0
49,11,16,16,68,2018-11-16 16:00:00,1542402000.0
50,11,16,17,64,2018-11-16 17:00:00,1542405600.0
51,11,16,18,58,2018-11-16 18:00:00,1542409200.0
