,timestamps,tweets
0,2018-11-23 03:10:47,"RT @PlanetNestor: Stay tuned for another #FunkoFridays reaveal from #Target tomorrow! Rumor is, it’s someone wielding a pumpkin! 🎃https://t…"
1,2018-11-23 03:08:12,"Stay tuned for another #FunkoFridays reaveal from #Target tomorrow! Rumor is, it’s someone wielding a pumpkin! 🎃https://t.co/ylmHmlz8R6"
2,2018-11-23 03:07:07,@RiversidePolice Thanks for keeping us safe on Thanksgiving! Jacob loved “Officer Judy Hops”! #Target… https://t.co/7eaFWcPhb7
3,2018-11-23 03:05:37,BRAND NEW VIDEO #BlackFriday2018 #BlackFriday Haul #BestBuy #Target #Walmart https://t.co/YipdIMCJPI
4,2018-11-23 03:05:26,#BlackFriday Deal Alert!! #ad Get #StarlinkGame for Nintendo Switch for $39.99 (a savings of $35) at #Target and sa… https://t.co/zBbgS3sP4G
5,2018-11-23 03:02:50,"HAUUUUULLLL! Black Fridayn 2018. Part 1

#BlackFirday #BrownThursday #Thanksgiving #4K #UltraHD #BluRay #DVD… https://t.co/ZGYXHzjcy8"
6,2018-11-23 03:00:19,"#JESSICAALBA
#Style on the go! The #actress hits up #Target for some #ThanksgivingDay essentials. 
#runway… https://t.co/XRJvjO3uZy"
7,2018-11-23 02:58:43,"Black Friday? No way. Thursday night before Black Friday? Absolutely not... Unless I hear about a near life size, i… https://t.co/OVMUczIBkn"
8,2018-11-23 02:57:55,"When at #Target hope you get in the line with two middle-aged white women in front of you, when the cashier gets cl… https://t.co/rtePyxD992"
9,2018-11-23 02:56:16,I just saw Shane Dawson’s book at Target! 😊 @shanedawson @Garrett_Watts @Ryland_Adams @_morganadams_ @AndrewSiwicki… https://t.co/8o7XaReXGR
10,2018-11-23 02:53:58,RT @ESAbernathy: How do you kick off Thanksgiving when your wife is the SFS team leader? By coming in and packing Guest orders for a few ho…
11,2018-11-23 02:52:37,"ENGW Won By 8 Wkts
#ICC Womes T2O WorldCup Semi Final #INDWvENGW
 #Target 113
 #ENGW 116/2
17.1/Ovr
Jones 51*
Sciver 54*
 #J/G &amp; #S/J"
12,2018-11-23 02:50:11,RT @lesliebrown318: Happy Thanksgiving from the T0658 Moorhead #Target team! We are ready to #BringTheJoy and excited for #HolidayDominatio…
13,2018-11-23 02:49:12,"This 🌈colorful🌈 display @Target is so pretty!  Whatever color you want to stay warm in this winter, looks like they… https://t.co/waafIS96Oi"
14,2018-11-23 02:46:47,"I shopped online and location at both @Target and @Walmart . 
#Target was a breeze. Easy to get around and no wait… https://t.co/6pg0nsdwGG"
15,2018-11-23 02:44:59,$5 Family Matching Christmas PJs at #Target https://t.co/68Rxf0TNtB #targetdeals
16,2018-11-23 02:44:02,Here's what to expect from the #Target #CyberMonday sale in 2018 👀https://t.co/NqsNoQQLdl https://t.co/I89RWDrgxH
17,2018-11-23 02:43:42,So @Target sells the order I’m supposed to pick up at the store and to make it up they offer free shipping...which… https://t.co/kzW3Ev06cj
18,2018-11-23 02:33:01,"#ICC Womes T2O WorldCup Semi Final #INDWvENGW
 #Target 113
 #ENGW 87/2
14/Ovr
Jones 4O*
Sciver 36*
 PrtnrShp 63
 #HumKsiSyKumNhn
#J/G &amp; #S/J"
19,2018-11-23 02:30:14,"Target store coupon to save you money to bundle up! It's chilly outside!
#target"
20,2018-11-23 02:24:34,"When you have no self control!

#BlackFriday #Target #viziosmarttv https://t.co/1Akr11otCc"
21,2018-11-23 02:24:27,"#ICC Womes T2O WorldCup Semi Final #INDWvENGW
 #Target 113
 #ENGW 74/2
12/Ovr
Jones 31*
Sciver 32*
 #HumKsiSyKumNhn
 #J/G &amp; #J/K"
22,2018-11-23 02:24:04,RT @MamaHolistica: #BlackFriday Deal Alert!! #ad Get #StarlinkGame for Nintendo Switch for $39.99 (a savings of $35) at #Target and save 30…
23,2018-11-23 02:22:23,MEGO figures in #target? Whoa. Talkabout #ThrowbackThursday
24,2018-11-23 02:21:50,"I don't shop at #Target but was interested in this 4K tv. Arrived there at 4pm, went straight to tv section at 5pm… https://t.co/iLF97MasKF"
25,2018-11-23 02:21:48,RT @NCI_NCIP: #TARGET (Therapeutically Applicable Research To Generate Effective Treatments) applies a comprehensive #genomic approach to d…
